Hashcode,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,League,Teams,Leagues,Season,Total_OB,Total_Outs,Game_Fatigue_Factor,Condition,Status,Injured Days
520723,Willy Adames,MIL,SS,28,149,553,73,120,29,2,24,80,5,3,71,165,0,6,6,0.217,0.312,0.406,0.718,NL,['MIL'],['NL'],[2023],197,439,0,100,Active,0
975297,Randy Arozarena,TB,OF,28,151,551,95,140,19,3,23,83,22,10,80,156,0,5,18,0.254,0.366,0.424,0.79,AL,['TB'],['AL'],[2023],238,429,0,100,Active,0
70294,Lourdes Gurriel,ARI,OF,29,145,551,65,144,35,2,24,82,5,0,33,103,0,2,6,0.261,0.31,0.462,0.772,AL,['ARI'],['AL'],[2023],183,413,0,100,Active,0
647549,Christian Yelich,MIL,OF,31,144,550,106,153,34,1,19,76,28,3,78,140,0,1,3,0.278,0.37,0.447,0.817,NL,['MIL'],['NL'],[2023],234,400,0,100,Active,0
736182,Whit Merrifield,TOR,2B,34,145,547,66,149,27,0,11,67,26,10,36,101,0,6,3,0.272,0.32,0.382,0.702,AL,['TOR'],['AL'],[2023],188,401,0,100,Active,0
278294,Luis Robert,CWS,OF,26,145,546,90,144,36,1,38,80,20,4,30,172,0,2,12,0.264,0.316,0.542,0.858,AL,['CWS'],['AL'],[2023],186,414,0,100,Active,0
194705,Alex Verdugo,BOS,OF,27,142,546,81,144,37,5,13,54,5,3,45,93,0,5,6,0.264,0.326,0.421,0.747,AL,['BOS'],['AL'],[2023],195,408,0,100,Active,0
992131,Manny Machado,SD,3B,31,138,543,75,140,21,0,30,91,3,2,50,109,0,6,2,0.258,0.322,0.462,0.784,NL,['SD'],['NL'],[2023],192,405,0,100,Active,0
493280,Anthony Volpe,NYY,SS,22,159,541,62,113,23,4,21,60,24,5,52,167,1,2,5,0.209,0.284,0.382,0.665,AL,['NYY'],['AL'],[2023],170,433,0,100,Active,0
239398,William Contreras,MIL,C,25,141,540,86,156,38,1,17,78,6,1,63,126,1,2,5,0.289,0.368,0.457,0.825,NL,['MIL'],['NL'],[2023],224,389,0,100,Active,0
1781,Jose Abreu,HOU,1B,36,141,540,62,128,23,1,18,90,0,1,42,130,0,6,6,0.237,0.299,0.383,0.681,AL,['HOU'],['AL'],[2023],176,418,0,100,Active,0
8769,Salvador Perez,KC,C,33,140,538,59,137,21,0,23,80,0,0,19,135,0,8,13,0.255,0.296,0.421,0.717,AL,['KC'],['AL'],[2023],169,414,0,100,Active,0
