Hashcode,Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP,League,Teams,Leagues,AB,2B,3B,HBP,Season,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days
184678,Bryan Woo,SEA,24,38,38,0,0,182.6,152,82,192,64,26,8,10,0,0,0,0.0,0.46,AL,['SEA'],['AL'],699.8,0,0,0,"[2022, 2023, 2024]",0.13294797687861273,216,547.8,20.099999999999998,0,100,Active,0
226027,Jonathan Heasley,BAL,27,324,189,0,0,1107.8999999999999,1197,711,747,450,234,36,99,0,9,9,12.46,2.08,AL,"['BAL', 'KC']",['AL'],4520.7,0,0,0,"[2022, 2023, 2024]",0.4094488188976378,1647,3323.7,15.341666666666667,0,100,Active,0
583183,Tylor Megill,NYM,28,369,315,0,0,1594.7999999999997,1710,846,1440,666,225,117,99,0,0,0,2.25,1.5,NL,['NYM'],['NL'],6494.4,0,0,0,"[2022, 2023, 2024]",0.3333333333333333,2376,4784.4,19.404878048780485,0,100,Active,0
871961,Grant Anderson,TEX,26,62,0,0,0,78.4,90,52,72,30,12,4,4,0,10,10,13.5,2.0,AL,['TEX'],['AL'],325.20000000000005,0,0,0,"[2022, 2023, 2024]",0.4,120,235.20000000000002,5.7290322580645165,0,100,Active,0
677330,Carson Spiers,CIN,26,10,4,0,0,34.0,50,26,26,20,2,0,2,2,0,0,6.75,2.5,NL,['CIN'],['NL'],152.0,0,0,0,"[2022, 2023, 2024]",0.45454545454545453,70,102.0,17.2,0,100,Active,0
223315,Peter Strzelecki,CLE,29,4480,0,0,0,4819.2,4160,1856,5056,1728,320,320,384,64,192,1152,0.0,1.0,AL,"['ARI', 'CLE', 'MIL']","['AL', 'NL']",18617.6,0,0,0,"[2022, 2023, 2024]",0.25,5888,14457.599999999999,4.541428571428571,0,100,Active,0
152183,Edwin Uceta,TB,26,117,0,0,0,216.0,135,99,189,99,18,0,0,0,0,0,0.0,0.75,AL,"['NYM', 'ARI', 'TB']","['NL', 'AL']",783.0,0,0,0,"[2022, 2023, 2024]",0.2,234,648.0,7.538461538461538,0,100,Active,0
748036,Vladimir Gutierrez,MIA,28,22,16,0,0,80.4,98,68,66,52,18,2,12,0,2,0,6.75,1.25,NL,"['CIN', 'MIA']",['NL'],339.20000000000005,0,0,0,"[2022, 2023, 2024]",0.29411764705882354,150,241.20000000000002,17.781818181818185,0,100,Active,0
928314,Joan Adon,WSH,25,243,225,0,0,1074.6000000000001,1251,801,945,594,144,27,144,0,0,0,2.25,1.5,AL,"['WAS', 'WSH']","['AL', 'NL']",4474.8,0,0,0,"[2022, 2023, 2024]",0.3333333333333333,1845,3223.8,20.85925925925926,0,100,Active,0
168506,Daniel Duarte,MIN,27,324,0,0,0,336.59999999999997,261,153,252,216,63,36,0,9,0,27,2.25,0.75,AL,"['CIN', 'MIN']","['AL', 'NL']",1270.8,0,0,0,"[2022, 2023, 2024]",0.2,477,1009.8,4.588888888888889,0,100,Active,0
636158,Parker Mushinski,HOU,28,216,0,0,0,227.7,270,153,225,90,45,0,0,0,0,27,11.25,2.25,AL,['HOU'],['AL'],953.0999999999999,0,0,0,"[2022, 2023, 2024]",0.42857142857142855,360,683.0999999999999,4.829166666666667,0,100,Active,0
516699,Jakob Junis,MIL,31,576,198,0,0,1818.0,1917,837,1782,423,225,81,90,9,0,18,2.25,1.0,NL,"['SF', 'MIL']",['NL'],7371.0,0,0,0,"[2022, 2023, 2024]",0.25,2340,5454.0,13.53125,0,100,Active,0
36723,Bryan Shaw,CWS,36,927,18,0,0,965.7,945,540,864,423,117,54,27,45,18,99,9.0,3.0,AL,"['CWS', 'CLE']",['AL'],3842.1000000000004,0,0,0,"[2022, 2023, 2024]",0.5,1368,2897.1000000000004,4.600970873786408,0,100,Active,0
534991,Jonathan Loaisiga,NYY,29,630,0,0,0,622.8000000000001,576,252,414,189,45,27,45,18,18,135,0.0,2.0,AL,['NYY'],['AL'],2444.4,0,0,0,"[2022, 2023, 2024]",0.4,765,1868.4,4.18,0,100,Active,0
202209,Wes Parsons,CLE,31,45,9,0,0,117.0,180,135,90,45,36,0,9,0,0,0,0.0,1.0,AL,"['TOR', 'CLE']",['AL'],531.0,0,0,0,"[2022, 2023, 2024]",0.25,225,351.0,12.8,0,100,Active,0
7957,Jose Ruiz,PHI,29,6656,64,0,0,6886.400000000001,6976,3968,7040,3584,1280,192,64,0,128,768,4.5,1.5,NL,"['CWS', 'ARI', 'PHI']","['NL', 'AL']",27635.2,0,0,0,"[2022, 2023, 2024]",0.3333333333333333,10560,20659.2,4.690384615384615,0,100,Active,0
