Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Sam Huff,TEX,C,27,21,43,5,11,2,0,3,6,0,0,2,17,0,0,0,.256,.289,.512,.801
Jared Young,CHC,1B,30,16,43,8,8,0,3,2,8,2,0,3,13,0,0,1,.186,.255,.465,.720
Cody Thomas,OAK,OF,30,19,42,1,10,3,0,1,2,0,0,4,17,0,0,0,.238,.304,.381,.685
Jonny DeLuca,LAD,OF,27,24,42,5,11,1,0,2,6,1,0,3,8,0,0,0,.262,.311,.429,.740
TJ Hopkins,CIN,OF,28,25,41,7,7,0,0,0,1,1,0,2,17,0,0,1,.171,.227,.171,.398
Sandy Leon,TEX,C,36,22,41,4,6,2,0,0,4,0,0,1,20,1,0,1,.146,.186,.195,.381
Kyren Paris,LAA,SS,23,15,40,4,4,0,0,0,1,3,0,4,17,1,0,1,.100,.200,.100,.300
J.P. Martinez,TEX,OF,29,17,40,7,9,1,0,1,4,0,0,2,16,0,2,0,.225,.250,.325,.575
Grae Kessinger,HOU,3B,27,26,40,3,8,2,0,1,1,0,1,5,12,0,0,0,.200,.289,.325,.614
Spencer Horwitz,TOR,1B,27,15,39,5,10,2,0,1,7,0,0,4,12,0,0,1,.256,.341,.385,.726
Jordyn Adams,LAA,OF,25,17,39,1,5,0,0,0,1,1,2,0,16,0,1,0,.128,.125,.128,.253
Marco Luciano,SF,SS,23,14,39,4,9,3,0,0,0,1,0,6,17,0,0,0,.231,.333,.308,.641
Hunter Renfroe,CIN,OF,33,14,39,4,5,0,0,1,4,0,0,5,12,0,0,0,.128,.227,.205,.432
Sean Bouchard,COL,OF,29,21,38,11,12,2,0,4,7,0,1,4,14,0,1,0,.316,.372,.684,1.056
Coco Montes,COL,2B,28,18,38,3,7,2,0,1,3,0,0,2,12,0,0,1,.184,.244,.316,.560
Dominic Canzone,ARI,OF,27,15,38,4,9,2,0,1,8,0,0,2,8,0,0,1,.237,.293,.368,.661
Ivan Herrera,STL,C,25,13,37,6,11,2,0,0,4,0,0,5,11,0,0,2,.297,.409,.351,.760
Andrew Stevenson,MIN,OF,31,25,37,4,7,1,0,0,1,4,1,2,8,0,0,1,.189,.250,.216,.466
Eguy Rosario,SD,3B,25,11,36,6,9,1,1,2,6,0,0,1,12,0,0,0,.250,.270,.500,.770
Adam Haseley,CWS,OF,29,28,36,6,8,2,0,0,2,1,0,3,8,0,0,0,.222,.282,.278,.560
Blake Rutherford,WAS,OF,28,16,35,4,6,0,0,0,2,0,0,1,10,0,0,0,.171,.194,.171,.365
Andre Lipcius,DET,3B,27,13,35,3,10,1,0,1,4,0,0,3,8,0,0,0,.286,.342,.400,.742
Junior Caminero,TB,3B,22,7,34,4,8,1,0,1,7,0,0,2,8,0,0,0,.235,.278,.353,.631
Joey Ortiz,BAL,3B,27,15,33,4,7,1,0,0,4,0,0,0,9,0,1,0,.212,.206,.242,.448
Peyton Burdick,MIA,OF,28,14,33,4,6,2,0,1,2,1,0,3,18,0,0,1,.182,.270,.333,.603
David Hamilton,BOS,2B,27,15,33,2,4,2,0,0,0,2,1,6,10,0,0,0,.121,.256,.182,.438
