Hashcode,Player_Season_Key,Player,Age,Team,WAR,W,L,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,SO,HBP,BK,WP,WHIP,Season,MLS,Salary,League,Teams,Leagues,Projection_Method,Trend_Years_Used,Years_Included,AB,2B,3B,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days,BS,HLD,E,Age_Adjustment,Injury_Rate_Adj,Injury_Perf_Adj,Streak_Adjustment,Def_WAR,City,Mascot,Injury Description,Sim_WAR,AVG,SLG,OPS
926959,926959_2025,Jesús Luzardo,28,PHI,3.9,0,1,4.8,3,3,0,0,0,15.0,17,0,8,2,8,22,0,1.0,0,1.6666666666666667,2026,0.0,740000.0,NL,"['MIA', 'PHI']",['NL'],Recent_Year,3,"[2023, 2024, 2025]",62.0,3,0,0.35714285714285715,0,45,0.0,0.0,2.3018705349099235,Active,0,0,0,0,0.0008,0.0,0.0,0.0034373874871206963,-1.2827200482935095,PHI,,,2.203588270334693,0.27419354838709675,0.41935483870967744,0.7764976958525346
434018,434018_2025,Zach Eflin,32,BAL,-0.4,0,0,5.869565217391304,2,2,0,0,0,7.666666666666668,12,0,5,1,2,6,0,0.0,0,1.8260869565217388,2026,7.018,11000000.0,AL,"['TBR', 'BAL']",['AL'],Recent_Year,3,"[2023, 2024, 2025]",35.0,3,0,0.3783783783783784,0,23,0.0,0.0,37.39463198884597,Active,0,0,0,0,-0.0531,0.0,0.0,-0.027018264119620328,-0.2606456567825188,BAL,,,-0.0851809992118269,0.34285714285714286,0.5142857142857142,0.8926640926640926
284406,284406_2025,Merrill Kelly,37,TEX,-0.1,1,0,1.0188679245283019,3,3,0,0,0,17.666666666666668,8,0,2,0,3,14,0,2.0,0,0.6226415094339622,2026,5.0,8500000.0,AL,"['ARI', 'TEX']","['NL', 'AL']",Recent_Year,3,"[2023, 2024, 2025]",61.0,1,0,0.171875,0,53,0.0,0.0,22.218642689586307,Active,0,0,0,0,-0.3776,0.0,0.0,-0.006393300500230473,-3.485227598053011,TEX,,,0.4198321533311626,0.13114754098360656,0.14754098360655737,0.3194159836065574
91709,91709_2025,Johan Oviedo,28,PIT,0.8,0,1,6.48,2,2,0,0,0,8.333333333333332,6,0,6,1,7,5,0,1.0,0,1.5600000000000003,2026,2.079,765000.0,NL,['PIT'],['NL'],Recent_Year,2,"[2023, 2025]",31.0,2,0,0.34210526315789475,0,25,0.0,0.0,46.453893572670886,Active,0,0,0,0,0.0008,0.0,0.0,0.00656241601281766,0.494472546440364,PIT,,,0.3737889795792649,0.1935483870967742,0.3548387096774194,0.6969439728353142
147589,147589_2025,Bryce Elder,27,ATL,-0.4,0,2,5.625,3,3,0,0,0,16.0,16,0,10,4,4,10,0,0.0,0,1.25,2026,1.04,740000.0,NL,['ATL'],['NL'],Recent_Year,3,"[2023, 2024, 2025]",64.0,3,1,0.29411764705882354,0,48,0.0,0.0,16.31283384863398,Active,0,0,0,0,0.0032,0.0,0.0,-0.022212191143754414,-2.058729619024473,ATL,,,-0.38871331680478854,0.25,0.515625,0.8097426470588236
404355,404355_2025,Dane Dunning,31,ATL,-0.4,0,0,9.0,1,0,0,0,0,1.0,2,0,1,1,0,1,0,0.0,0,2.0,2026,3.083,3325000.0,NL,"['TEX', 'ATL']","['AL', 'NL']",Recent_Year,3,"[2023, 2024, 2025]",5.0,0,0,0.4,0,3,0.0,0.0,47.59825327510916,Active,0,0,0,0,-0.0236,0.0,0.0,-0.0005875736966556458,-0.562080606974624,ATL,,,-0.2,0.4,1.0,1.4
842560,842560_2025,Dean Kremer,30,BAL,2.1,1,2,5.26829268292683,3,3,0,0,0,13.666666666666664,15,0,8,1,3,6,0,1.0,0,1.3170731707317076,2026,2.112,756600.0,AL,['BAL'],['AL'],Recent_Year,3,"[2023, 2024, 2025]",55.0,2,1,0.3103448275862069,0,41,0.0,0.0,0.47149720675834317,Active,0,0,0,0,-0.0059,0.0,0.0,-0.01488508168455438,-0.670702966042358,BAL,,,1.2605565717231872,0.2727272727272727,0.4,0.710344827586207
592098,592098_2025,Taijuan Walker,33,PHI,1.5,0,0,6.230769230769232,6,0,0,0,0,4.333333333333333,5,0,3,1,0,4,0,0.0,0,1.153846153846154,2026,9.142,18000000.0,NL,['PHI'],['NL'],Recent_Year,3,"[2023, 2024, 2025]",18.0,2,0,0.2777777777777778,0,13,0.0,0.0,100.0,Active,0,0,0,0,-0.0944,0.0,0.0,0.00634053990609696,0.9329209185178045,PHI,,,0.75,0.2777777777777778,0.5555555555555556,0.8333333333333334
982552,982552_2025,Kyle Bradish,29,BAL,1.2,0,0,0.8181818181818182,6,0,0,0,0,11.0,5,0,1,0,3,17,0,0.0,0,0.7272727272727273,2026,1.16,754500.0,AL,['BAL'],['AL'],Recent_Year,3,"[2023, 2024, 2025]",38.0,1,0,0.1951219512195122,0,33,0.0,0.0,73.88924971108153,Active,0,0,1,0,0.0,0.0,0.0,-0.016124604328352964,0.1198062991821136,BAL,,,1.1834478362722098,0.13157894736842105,0.15789473684210525,0.35301668806161746
395108,395108_2025,Yusei Kikuchi,35,LAA,3.3,1,1,5.108108108108107,3,3,0,0,0,12.333333333333336,10,0,7,1,10,13,0,0.0,0,1.6216216216216213,2026,5.0,10000000.0,AL,"['TOR', 'HOU', 'LAA']",['AL'],Trend,3,"[2023, 2024, 2025]",47.0,0,1,0.3508771929824561,0,37,0.0,0.0,27.010728407000173,Active,0,0,0,0,-0.2124,0.0,0.0,0.003486880047610533,0.9007205449965632,LAA,,,1.841755925505614,0.2127659574468085,0.3191489361702128,0.6700261291526689
102502,102502_2025,Kodai Senga,33,NYM,2.1,1,0,6.3,2,2,0,0,0,10.0,12,0,7,2,2,9,0,0.0,0,1.4,2026,1.0,15000000.0,NL,['NYM'],['NL'],Recent_Year,3,"[2023, 2024, 2025]",42.0,2,2,0.3181818181818182,0,30,0.0,0.0,67.65426409434863,Active,0,0,0,0,-0.0944,0.0,0.0,-0.002842084336787617,0.4084056664495614,NYM,,,1.1755927643684074,0.2857142857142857,0.5714285714285714,0.8896103896103896
288650,288650_2025,Freddy Peralta,30,MIL,5.5,1,0,0.6136363636363638,3,3,0,0,0,14.666666666666664,11,0,1,0,4,13,0,2.0,0,1.022727272727273,2026,5.09,5735000.0,NL,['MIL'],['NL'],Trend,3,"[2023, 2024, 2025]",55.0,1,0,0.2542372881355932,0,44,0.0,0.0,20.942266250207368,Active,0,0,0,0,-0.0059,0.0,0.0,-0.007373941687178249,1.7816973237604024,MIL,,,3.400848465104618,0.2,0.21818181818181817,0.47241910631741135
635568,635568_2025,Charlie Morton,42,DET,-0.8,1,0,4.2631578947368425,2,2,0,0,0,6.333333333333332,6,0,3,0,3,7,0,2.0,0,1.4210526315789476,2026,15.01,20000000.0,AL,"['ATL', 'DET']","['NL', 'AL']",Trend,3,"[2023, 2024, 2025]",25.0,2,0,0.32142857142857145,0,19,0.0,0.0,36.874551456707174,Active,0,0,0,0,-0.9971,0.0,0.0,0.0025731651791886267,-1.932056699062868,DET,,,-0.2540123866718383,0.24,0.32,0.6414285714285715
1003721,1003721_2025,Justin Verlander,43,SFG,1.2,0,1,6.428571428571429,2,2,0,0,0,7.0,12,0,5,0,4,4,0,0.0,0,2.2857142857142856,2026,18.002,43333333.0,NL,"['HOU', 'SFG']","['AL', 'NL']",Recent_Year,3,"[2023, 2024, 2025]",33.0,2,1,0.43243243243243246,0,21,0.0,0.0,65.28625361918513,Active,0,0,0,0,-1.1564,0.0,0.0,0.010513296686481726,-1.6114756344405154,SFG,,,0.6764649954641212,0.36363636363636365,0.48484848484848486,0.9172809172809173
431084,431084_2025,Joe Ryan,30,MIN,4.5,0,1,3.0681818181818183,3,3,0,0,0,14.666666666666668,11,0,5,1,3,13,0,2.0,0,0.9545454545454545,2026,2.033,758850.0,AL,['MIN'],['AL'],Recent_Year,3,"[2023, 2024, 2025]",55.0,3,0,0.2413793103448276,0,44,0.0,0.0,15.007087652679147,Active,0,0,0,0,-0.0059,0.0,0.0,-0.007056004555902613,0.9565343556988646,MIN,,,2.7402275759098145,0.2,0.3090909090909091,0.5504702194357367
538888,538888_2025,Brady Singer,29,CIN,3.1,3,0,1.8,3,3,0,0,0,15.0,11,0,3,2,3,15,0,0.0,0,0.9333333333333333,2026,3.156,4850000.0,NL,"['KCR', 'CIN']","['AL', 'NL']",Trend,3,"[2023, 2024, 2025]",56.0,1,0,0.23728813559322035,0,45,0.0,0.0,15.788459305334806,Active,0,0,0,0,0.0,0.0,0.0,0.018763056743424968,-0.0205519708523507,CIN,,,1.890429466092274,0.19642857142857142,0.32142857142857145,0.5587167070217918
