Hashcode,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,League,Teams,Leagues,Season,Total_OB,Total_Outs,Game_Fatigue_Factor,Condition,Status,Injured Days
410759,Paul Goldschmidt,STL,1B,36,39,151,18,30,3,0,3,14,1,0,16,54,0,0,2,0.199,0.284,0.278,0.562,NL,['STL'],['NL'],[2024],48,123,0,100,Active,0
331731,Oneil Cruz,PIT,SS,25,41,151,17,41,7,0,7,18,4,1,11,52,0,0,0,0.272,0.32,0.456,0.776,NL,['PIT'],['NL'],[2024],52,110,0,100,Active,0
975297,Randy Arozarena,TB,OF,29,41,151,18,24,4,0,7,17,7,2,20,51,0,0,1,0.159,0.261,0.324,0.585,AL,['TB'],['AL'],[2024],45,128,0,100,Active,0
537625,Michael Harris,ATL,OF,23,38,151,17,39,6,1,3,14,5,3,8,35,0,0,1,0.258,0.3,0.37,0.669,NL,['ATL'],['NL'],[2024],48,113,0,100,Active,0
883053,Spencer Torkelson,DET,1B,24,39,151,16,34,13,0,2,16,0,0,13,38,0,1,2,0.225,0.295,0.35,0.645,AL,['DET'],['AL'],[2024],49,119,0,100,Active,0
604527,Ronald Acuna,ATL,OF,26,38,150,32,38,6,0,3,11,14,2,23,45,0,0,3,0.253,0.363,0.353,0.716,NL,['ATL'],['NL'],[2024],64,115,0,100,Active,0
1043477,Ha-Seong Kim,SD,2B,28,44,150,22,31,4,2,5,21,8,1,26,32,1,1,1,0.207,0.327,0.36,0.687,NL,['SD'],['NL'],[2024],58,120,0,100,Active,0
705394,Starling Marte,NYM,OF,35,36,150,20,38,6,0,4,15,7,0,10,37,1,1,0,0.253,0.3,0.373,0.673,NL,['NYM'],['NL'],[2024],48,112,0,100,Active,0
8769,Salvador Perez,KC,C,34,41,149,16,48,9,0,8,33,0,0,11,25,0,0,4,0.322,0.384,0.543,0.927,AL,['KC'],['AL'],[2024],63,105,0,100,Active,0
84037,Riley Greene,DET,OF,23,41,149,29,37,7,1,9,19,0,0,27,47,0,1,1,0.248,0.367,0.489,0.856,AL,['DET'],['AL'],[2024],65,113,0,100,Active,0
442957,CJ Abrams,WSH,SS,23,36,148,25,41,7,4,7,20,8,3,11,30,1,1,3,0.277,0.339,0.52,0.859,NL,['WSH'],['NL'],[2024],55,110,0,100,Active,0
923257,Yainer Diaz,HOU,C,25,39,148,15,40,7,1,3,18,0,0,7,20,0,2,1,0.27,0.307,0.391,0.698,AL,['HOU'],['AL'],[2024],48,109,0,100,Active,0
280595,Christopher Morel,CHC,OF,24,41,148,22,33,3,1,9,27,4,2,19,38,0,2,0,0.223,0.311,0.439,0.75,NL,['CHC'],['NL'],[2024],52,115,0,100,Active,0
520018,Kyle Tucker,HOU,OF,27,40,148,28,41,8,0,13,29,6,0,30,31,0,0,0,0.277,0.398,0.594,0.992,AL,['HOU'],['AL'],[2024],71,107,0,100,Active,0
698420,Austin Riley,ATL,3B,27,37,147,22,36,8,2,3,18,0,0,14,39,0,0,2,0.245,0.319,0.387,0.706,NL,['ATL'],['NL'],[2024],52,113,0,100,Active,0
937243,Ryan Mountcastle,BAL,1B,27,37,147,22,40,11,1,6,18,2,0,10,36,0,2,0,0.272,0.318,0.482,0.8,AL,['BAL'],['AL'],[2024],50,107,0,100,Active,0
972320,Alex Bregman,HOU,3B,30,38,147,11,32,7,0,3,17,2,0,15,20,0,1,0,0.218,0.29,0.326,0.616,AL,['HOU'],['AL'],[2024],47,115,0,100,Active,0
780435,Jurickson Profar,SD,OF,31,44,147,23,47,8,0,7,29,2,1,20,24,0,1,1,0.32,0.404,0.517,0.921,NL,['SD'],['NL'],[2024],68,101,0,100,Active,0
1024151,Bo Bichette,TOR,SS,26,38,147,13,32,5,1,2,13,4,1,10,26,0,1,2,0.218,0.276,0.306,0.582,AL,['TOR'],['AL'],[2024],44,117,0,100,Active,0
528436,Anthony Santander,BAL,OF,29,39,146,21,31,10,1,7,25,0,0,12,29,0,1,5,0.212,0.294,0.438,0.732,AL,['BAL'],['AL'],[2024],48,120,0,100,Active,0
19512,Jorge Polanco,SEA,2B,30,41,146,15,28,2,0,5,13,1,2,21,53,0,0,1,0.192,0.297,0.308,0.605,AL,['SEA'],['AL'],[2024],50,119,0,100,Active,0
719781,Josh Naylor,CLE,1B,26,40,146,22,39,8,0,11,30,2,2,17,22,0,2,3,0.267,0.355,0.547,0.902,AL,['CLE'],['AL'],[2024],59,110,0,100,Active,0
423532,Ian Happ,CHC,OF,29,39,146,20,32,7,1,1,13,1,1,23,48,0,0,2,0.219,0.333,0.301,0.634,NL,['CHC'],['NL'],[2024],57,116,0,100,Active,0
842624,George Springer,TOR,OF,34,37,145,13,29,4,0,3,6,6,0,15,29,0,1,0,0.2,0.275,0.289,0.564,AL,['TOR'],['AL'],[2024],44,116,0,100,Active,0
