Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
203,Merrill Kelly,37,ARI,NL,-0.6,1,2,.333,9.20,3,3,0,0,0,0,14.2,21,15,15,5,12,1,9,0,0,0,74,47,8.78,2.250,12.9,3.1,7.4,5.5,0.75,,kellyme01
204,Dylan Lee*,31,ATL,NL,0.6,1,0,1.000,1.23,15,0,0,0,0,0,14.2,6,2,2,0,2,0,17,0,0,0,52,337,1.21,0.545,3.7,0.0,1.2,10.4,8.50,,leedy01
205,Juan Morillo,27,ARI,NL,0.7,1,1,.500,1.84,15,0,1,0,0,1,14.2,8,3,3,1,4,0,17,0,0,1,57,236,2.50,0.818,4.9,0.6,2.5,10.4,4.25,,morilju02
206,Dennis Santana,30,PIT,NL,0.3,2,2,.500,3.07,15,0,7,0,0,2,14.2,9,6,5,2,8,1,10,1,0,0,61,140,5.37,1.159,5.5,1.2,4.9,6.1,1.25,,santade01
207,Gregory Soto*,31,PIT,NL,0.6,2,0,1.000,1.84,15,0,4,0,0,1,14.2,6,3,3,1,6,0,20,1,0,2,56,234,2.71,0.818,3.7,0.6,3.7,12.3,3.33,,sotogr01
208,Tyler Alexander*,31,TEX,AL,0.6,0,0,,0.63,13,0,4,0,0,2,14.1,14,2,1,0,3,0,12,1,0,0,59,607,2.28,1.186,8.8,0.0,1.9,7.5,4.00,,alexaty01
209,JT Brubaker,32,SFG,NL,0.2,0,0,,2.51,10,0,4,0,0,0,14.1,13,4,4,1,9,0,11,0,0,2,61,160,4.37,1.535,8.2,0.6,5.7,6.9,1.22,,brubajt01
210,Brock Burke*,29,CIN,NL,0.5,1,1,.500,0.63,15,0,4,0,0,1,14.1,10,4,1,0,6,0,17,1,0,0,59,719,2.21,1.116,6.3,0.0,3.8,10.7,2.83,,burkebr01
211,Cooper Criswell,29,SEA,AL,0.2,1,0,1.000,2.51,11,0,8,0,0,1,14.1,11,4,4,3,3,1,13,1,0,0,53,162,4.86,0.977,6.9,1.9,1.9,8.2,4.33,,criswco01
212,Jakob Junis,33,TEX,AL,0.4,0,0,,1.88,13,0,5,0,0,3,14.1,7,3,3,0,4,1,6,2,0,0,55,202,3.54,0.767,4.4,0.0,2.5,3.8,1.50,,junisja01
213,Jordan Leasure,27,CHW,AL,-0.3,2,1,.667,6.91,14,1,2,0,0,0,14.1,12,12,11,5,8,1,14,0,1,1,62,64,7.37,1.395,7.5,3.1,5.0,8.8,1.75,,leasujo01
214,Juan Mejia,25,COL,NL,0.0,0,2,.000,5.02,12,1,3,0,0,1,14.1,19,8,8,1,5,1,16,1,0,1,65,96,3.05,1.674,11.9,0.6,3.1,10.0,3.20,,mejiaju01
215,Anthony Nunez,24,BAL,AL,0.4,1,0,1.000,2.51,13,0,3,0,0,1,14.1,9,6,4,2,3,0,18,0,1,1,56,170,3.05,0.837,5.7,1.3,1.9,11.3,6.00,,nunezan01
216,Bradgley Rodriguez,22,SDP,NL,0.5,0,1,.000,1.88,12,0,1,0,0,0,14.1,13,3,3,0,5,1,12,0,0,0,60,224,2.49,1.256,8.2,0.0,3.1,7.5,2.40,,rodribr01
