Hashcode,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,WAR,salary,League,Teams,Leagues,Season,Total_OB,Total_Outs,Game_Fatigue_Factor,Condition,Status,Injured Days
372153,Wander Franco,TB,SS,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,2454546.0,AL,['TB'],['AL'],2024,0,0,0,100,Active,0
809775,Max Kepler,MIN,OF,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85,8500000.0,AL,['MIN'],['AL'],2024,0,0,0,100,Active,0
575942,J.D. Martinez,LAD,DH,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,10000000.0,AL,['LAD'],['AL'],2024,0,0,0,100,Active,0
194476,Will Brennan,CLE,OF,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,720100.0,AL,['CLE'],['AL'],2024,0,0,0,100,Active,0
379544,LaMonte Wade,SF,OF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,NL,['SF'],['NL'],2024,0,0,0,100,Active,0
531578,Triston Casas,BOS,1B,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,723500.0,AL,['BOS'],['AL'],2024,0,0,0,100,Active,0
954119,Willson Contreras,STL,C,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,10000000.0,NL,['STL'],['NL'],2024,0,0,0,100,Active,0
78090,Michael Massey,KC,2B,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09,722850.0,AL,['KC'],['AL'],2024,0,0,0,100,Active,0
90995,Lars Nootbaar,STL,OF,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,732400.0,NL,['STL'],['NL'],2024,0,0,0,100,Active,0
937243,Ryan Mountcastle,BAL,1B,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,738400.0,AL,['BAL'],['AL'],2024,0,0,0,100,Active,0
344435,Jordan Walker,STL,OF,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07,3924989.0,NL,['STL'],['NL'],2024,0,0,0,100,Active,0
146337,Kerry Carpenter,DET,OF,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,723700.0,AL,['DET'],['AL'],2024,0,0,0,100,Active,0
915660,Connor Joe,PIT,OF,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,735000.0,NL,['PIT'],['NL'],2024,0,0,0,100,Active,0
90305,Adam Frazier,BAL,2B,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,8000000.0,AL,['BAL'],['AL'],2024,0,0,0,100,Active,0
571735,Yordan Alvarez,HOU,OF,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62,7833333.0,AL,['HOU'],['AL'],2024,0,0,0,100,Active,0
977333,Geraldo Perdomo,ARI,SS,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,738600.0,AL,['ARI'],['AL'],2024,0,0,0,100,Active,0
236436,Nolan Gorman,STL,2B,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,726950.0,NL,['STL'],['NL'],2024,0,0,0,100,Active,0
500912,Ryan Noda,OAK,1B,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,7350941.0,AL,['OAK'],['AL'],2024,0,0,0,100,Active,0
75895,Michael Conforto,SF,OF,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,18000000.0,NL,['SF'],['NL'],2024,0,0,0,100,Active,0
129765,Ezequiel Duran,TEX,SS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,724170.0,AL,['TEX'],['AL'],2024,0,0,0,100,Active,0
380293,Wilmer Flores,SF,3B,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62,6500000.0,NL,['SF'],['NL'],2024,0,0,0,100,Active,0
46074,Brice Turang,MIL,2B,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,6291218.0,NL,['MIL'],['NL'],2024,0,0,0,100,Active,0
198408,Brandon Marsh,PHI,OF,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,734500.0,NL,['PHI'],['NL'],2024,0,0,0,100,Active,0
168006,Cedric Mullins,BAL,OF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,4100000.0,AL,['BAL'],['AL'],2024,0,0,0,100,Active,0
488387,Chas McCormick,HOU,OF,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,752500.0,AL,['HOU'],['AL'],2024,0,0,0,100,Active,0
269378,Harold Ramirez,TB,OF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,AL,['TB'],['AL'],2024,0,0,0,100,Active,0
201413,Brenton Doyle,COL,OF,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,5260529.0,NL,['COL'],['NL'],2024,0,0,0,100,Active,0
