Hashcode,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,WAR,salary,League,Teams,Leagues,Season,Total_OB,Total_Outs,Game_Fatigue_Factor,Condition,Status,Injured Days
537625,Michael Harris,ATL,OF,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,NL,['ATL'],['NL'],2024,0,0,0,100,Active,0
12261,Jorge Soler,MIA,OF,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,15000000.0,NL,['MIA'],['NL'],2024,0,0,0,100,Active,0
1022524,Cody Bellinger,CHC,OF,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,12500000.0,NL,['CHC'],['NL'],2024,0,0,0,100,Active,0
859480,Shohei Ohtani,LAA,DH,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04,30000000.0,AL,['LAA'],['AL'],2024,0,0,0,100,Active,0
374055,DJ LeMahieu,NYY,3B,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,15000000.0,AL,['NYY'],['AL'],2024,0,0,0,100,Active,0
860547,Thairo Estrada,SF,2B,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,2250000.0,NL,['SF'],['NL'],2024,0,0,0,100,Active,0
148351,Ke'Bryan Hayes,PIT,3B,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,10000000.0,NL,['PIT'],['NL'],2024,0,0,0,100,Active,0
596465,Tim Anderson,CWS,SS,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0,12500000.0,AL,['CWS'],['AL'],2024,0,0,0,100,Active,0
611858,Isaac Paredes,TB,3B,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16,735000.0,AL,['TB'],['AL'],2024,0,0,0,100,Active,0
254799,J.T. Realmuto,PHI,C,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,23875000.0,NL,['PHI'],['NL'],2024,0,0,0,100,Active,0
898500,Orlando Arcia,ATL,2B,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,2300000.0,NL,['ATL'],['NL'],2024,0,0,0,100,Active,0
845991,TJ Friedl,CIN,OF,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,722500.0,NL,['CIN'],['NL'],2024,0,0,0,100,Active,0
1020528,Elias Diaz,COL,C,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,NL,['COL'],['NL'],2024,0,0,0,100,Active,0
1012925,Brandon Drury,LAA,3B,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,8500000.0,AL,['LAA'],['AL'],2024,0,0,0,100,Active,0
793447,James Outman,LAD,OF,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,722500.0,AL,['LAD'],['AL'],2024,0,0,0,100,Active,0
871320,Max Muncy,LAD,3B,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,13500000.0,AL,['LAD'],['AL'],2024,0,0,0,100,Active,0
758039,J.D. Davis,SF,3B,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,4210000.0,NL,['SF'],['NL'],2024,0,0,0,100,Active,0
180082,Tommy Edman,STL,2B,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,4200000.0,NL,['STL'],['NL'],2024,0,0,0,100,Active,0
360419,Matt Vierling,DET,OF,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,727100.0,AL,['DET'],['AL'],2024,0,0,0,100,Active,0
648628,Josh Jung,TEX,3B,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35,721485.0,AL,['TEX'],['AL'],2024,0,0,0,100,Active,0
12006,Eddie Rosario,ATL,OF,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,9000000.0,NL,['ATL'],['NL'],2024,0,0,0,100,Active,0
396326,Corey Seager,TEX,SS,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,35500000.0,AL,['TEX'],['AL'],2024,0,0,0,100,Active,0
301685,Trent Grisham,SD,OF,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3175000.0,NL,['SD'],['NL'],2024,0,0,0,100,Active,0
48994,Mauricio Dubon,HOU,OF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,AL,['HOU'],['AL'],2024,0,0,0,100,Active,0
537147,Josh Lowe,TB,OF,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72,723200.0,AL,['TB'],['AL'],2024,0,0,0,100,Active,0
18294,Tyler Stephenson,CIN,C,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,740000.0,NL,['CIN'],['NL'],2024,0,0,0,100,Active,0
1041928,Will Smith,LAD,C,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11,5250000.0,AL,['LAD'],['AL'],2024,0,0,0,100,Active,0
225923,Zach McKinstry,DET,2B,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,734500.0,AL,['DET'],['AL'],2024,0,0,0,100,Active,0
157744,Maikel Garcia,KC,SS,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,5550864.0,AL,['KC'],['AL'],2024,0,0,0,100,Active,0
88982,Brent Rooker,OAK,OF,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,725000.0,AL,['OAK'],['AL'],2024,0,0,0,100,Active,0
515645,Myles Straw,CLE,OF,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,2900000.0,AL,['CLE'],['AL'],2024,0,0,0,100,Active,0
580537,Jake Cronenworth,SD,2B,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4225000.0,NL,['SD'],['NL'],2024,0,0,0,100,Active,0
747382,Jonah Heim,TEX,C,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,745660.0,AL,['TEX'],['AL'],2024,0,0,0,100,Active,0
323342,Bryce Harper,PHI,DH,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69,27538462.0,NL,['PHI'],['NL'],2024,0,0,0,100,Active,0
568666,Eloy Jimenez,CWS,OF,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,AL,['CWS'],['AL'],2024,0,0,0,100,Active,0
265663,Jonathan India,CIN,2B,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,760000.0,NL,['CIN'],['NL'],2024,0,0,0,100,Active,0
719781,Josh Naylor,CLE,1B,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,3350000.0,AL,['CLE'],['AL'],2024,0,0,0,100,Active,0
29943,Esteury Ruiz,OAK,OF,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12,720000.0,AL,['OAK'],['AL'],2024,0,0,0,100,Active,0
422421,Shea Langeliers,OAK,C,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,720000.0,AL,['OAK'],['AL'],2024,0,0,0,100,Active,0
310133,Luis Garcia,WSH,2B,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,NL,['WSH'],['NL'],2024,0,0,0,100,Active,0
256710,Jack Suwinski,PIT,OF,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21,725000.0,NL,['PIT'],['NL'],2024,0,0,0,100,Active,0
