Hashcode,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,League,Teams,Leagues,Season,Total_OB,Total_Outs,Game_Fatigue_Factor,Condition,Status,Injured Days
62435,Brandon Dixon,SD,3B,31,76,186,22,38,10,0,4,20,2,0,2,72,0,4,8,0.203,0.244,0.329,0.573,NL,['SD'],['NL'],"[2022, 2023, 2024]",48,156,0,100,Active,0
614920,Xavier Edwards,MIA,2B,24,30,78,12,23,3,0,0,3,5,0,3,14,2,0,1,0.295,0.329,0.333,0.662,NL,['MIA'],['NL'],"[2022, 2023, 2024]",27,56,0,100,Active,0
507486,Taylor Motter,STL,SS,34,62,164,6,28,6,0,0,4,0,0,10,68,0,0,2,0.171,0.232,0.211,0.443,NL,"['CIN', 'STL']",['NL'],"[2022, 2023, 2024]",40,138,0,100,Active,0
381925,Yonathan Daza,COL,OF,29,274,892,128,264,54,4,4,82,2,6,58,142,4,12,10,0.27,0.304,0.351,0.655,NL,['COL'],['NL'],"[2022, 2023, 2024]",332,638,0,100,Active,0
764395,Henry Ramos,CIN,OF,31,23,74,9,18,3,1,0,5,2,1,11,21,0,0,1,0.243,0.349,0.311,0.66,NL,['CIN'],['NL'],"[2022, 2023, 2024]",30,57,0,100,Active,0
176440,Mike Brosseau,MIL,3B,29,198,428,38,102,14,0,20,62,4,0,36,136,0,0,12,0.205,0.256,0.397,0.653,NL,['MIL'],['NL'],"[2022, 2023, 2024]",150,338,0,100,Active,0
140591,Sam Hilliard,ATL,OF,29,220,492,82,98,22,2,10,40,18,2,58,180,0,4,2,0.236,0.295,0.431,0.726,NL,"['COL', 'ATL']",['NL'],"[2022, 2023, 2024]",158,396,0,100,Active,0
116228,Trayce Thompson,LAD,OF,32,9728,23808,3392,5184,1024,64,1216,3712,384,64,3584,10880,0,128,256,0.155,0.31,0.366,0.676,AL,"['CWS', 'SD', 'LAD']","['NL', 'AL']","[2022, 2023, 2024]",9024,18880,0,100,Active,0
632326,Franchy Cordero,NYY,OF,29,216,622,90,132,38,2,28,84,8,2,60,234,4,4,2,0.188,0.211,0.478,0.689,AL,"['BOS', 'NYY']",['AL'],"[2022, 2023, 2024]",194,492,0,100,Active,0
584446,Luke Voit,MIL,1B,32,1413,5112,540,1152,225,0,198,657,27,9,531,1854,0,54,81,0.221,0.284,0.265,0.549,NL,"['SD', 'WAS', 'MIL']",['NL'],"[2022, 2023, 2024]",1764,4041,0,100,Active,0
701414,Clint Frazier,CWS,OF,29,104,206,28,42,8,2,0,8,10,4,34,68,0,0,2,0.197,0.303,0.242,0.545,AL,"['CWS', 'CHC']","['AL', 'NL']","[2022, 2023, 2024]",78,166,0,100,Active,0
683853,Garrett Mitchell,MIL,OF,25,94,252,38,70,10,2,10,32,18,2,26,108,2,2,0,0.246,0.315,0.446,0.761,NL,['MIL'],['NL'],"[2022, 2023, 2024]",96,182,0,100,Active,0
281119,Brett Phillips,LAA,OF,29,1107,2376,279,360,63,0,72,189,90,9,216,1170,36,9,27,0.175,0.268,0.333,0.601,AL,"['TB', 'BAL', 'LAA']",['AL'],"[2022, 2023, 2024]",603,2043,0,100,Active,0
493117,Jason Vosler,CIN,3B,30,112,320,40,72,16,4,14,44,2,2,26,108,0,2,4,0.161,0.2,0.371,0.571,NL,"['CIN', 'SF']",['NL'],"[2022, 2023, 2024]",102,252,0,100,Active,0
453150,Michael Stefanic,LAA,2B,27,100,246,20,60,8,2,0,12,0,2,26,40,2,0,6,0.29,0.38,0.355,0.735,AL,['LAA'],['AL'],"[2022, 2023, 2024]",92,192,0,100,Active,0
809123,Juan Yepez,STL,OF,25,208,626,64,150,28,0,28,64,0,2,40,162,0,8,4,0.183,0.246,0.3,0.546,NL,['STL'],['NL'],"[2022, 2023, 2024]",194,480,0,100,Active,0
503069,Jonathan Arauz,NYM,2B,25,378,873,54,117,0,0,36,126,0,0,54,270,27,9,0,0.136,0.203,0.288,0.491,NL,"['BAL', 'BOS', 'NYM']","['NL', 'AL']","[2022, 2023, 2024]",171,756,0,100,Active,0
893586,Franmil Reyes,KC,DH,28,1233,4473,432,972,153,18,144,486,18,9,306,1629,0,45,18,0.186,0.231,0.288,0.519,AL,"['CHC', 'CLE', 'KC']","['NL', 'AL']","[2022, 2023, 2024]",1296,3519,0,100,Active,0
671193,Josh Donaldson,MIL,3B,37,1647,5787,693,1179,297,0,252,792,18,18,684,1782,0,72,72,0.169,0.29,0.39,0.68,NL,"['NYY', 'MIL']","['NL', 'AL']","[2022, 2023, 2024]",1935,4680,0,100,Active,0
453000,Tim Locastro,NYM,OF,31,162,198,52,42,8,0,8,14,28,4,10,58,4,0,14,0.232,0.338,0.393,0.731,NL,"['NYM', 'NYY']","['NL', 'AL']","[2022, 2023, 2024]",66,170,0,100,Active,0
335945,Brad Miller,TEX,OF,33,216,556,56,118,14,0,16,76,8,4,56,162,0,4,0,0.214,0.328,0.339,0.667,AL,['TEX'],['AL'],"[2022, 2023, 2024]",174,438,0,100,Active,0
896540,Wade Meckler,SF,OF,23,20,56,6,13,1,0,0,4,0,0,6,25,0,0,2,0.232,0.328,0.25,0.578,NL,['SF'],['NL'],"[2022, 2023, 2024]",21,45,0,100,Active,0
682978,Darick Hall,PHI,DH,28,120,380,42,86,18,2,20,38,0,0,14,124,0,0,2,0.167,0.196,0.241,0.437,NL,['PHI'],['NL'],"[2022, 2023, 2024]",102,296,0,100,Active,0
559509,Michael Brantley,HOU,OF,36,158,594,70,170,32,2,14,66,2,2,66,64,2,4,2,0.278,0.298,0.426,0.724,AL,['HOU'],['AL'],"[2022, 2023, 2024]",238,426,0,100,Active,0
738328,Nate Eaton,KC,OF,26,144,318,36,64,8,6,2,26,28,2,24,102,2,6,6,0.075,0.125,0.075,0.2,AL,['KC'],['AL'],"[2022, 2023, 2024]",94,260,0,100,Active,0
655348,Jake Lamb,LAA,OF,33,540,1332,180,288,63,9,45,99,0,9,126,477,0,0,27,0.216,0.259,0.353,0.612,AL,"['LAA', 'SEA', 'LAD']",['AL'],"[2022, 2023, 2024]",441,1071,0,100,Active,0
637565,Kyle Lewis,ARI,DH,28,68,214,16,32,4,0,8,14,0,0,16,80,0,0,2,0.157,0.204,0.255,0.459,AL,"['ARI', 'SEA']",['AL'],"[2022, 2023, 2024]",50,184,0,100,Active,0
691421,C.J. Cron,LAA,1B,33,1989,7497,1053,1908,360,27,369,1251,0,0,540,2061,0,63,81,0.2,0.259,0.26,0.519,AL,"['LAA', 'COL']","['AL', 'NL']","[2022, 2023, 2024]",2529,5670,0,100,Active,0
104091,Terrin Vavra,BAL,2B,26,134,276,46,70,4,2,2,34,2,2,34,62,4,4,0,0.245,0.315,0.245,0.56,AL,['BAL'],['AL'],"[2022, 2023, 2024]",104,206,0,100,Active,0
671646,Carlos Perez,CWS,C,27,918,2115,198,468,90,0,63,225,0,0,153,477,9,27,36,0.204,0.264,0.347,0.611,AL,"['CWS', 'OAK']",['AL'],"[2022, 2023, 2024]",657,1683,0,100,Active,0
70092,Derek Hill,WAS,OF,27,88,260,22,54,6,0,2,8,8,0,16,78,6,2,0,0.17,0.22,0.191,0.411,NL,"['WAS', 'DET']","['NL', 'AL']","[2022, 2023, 2024]",70,206,0,100,Active,0
880064,Bryce Johnson,SF,OF,27,82,122,16,18,2,0,2,10,6,0,10,44,0,2,0,0.163,0.229,0.256,0.485,NL,['SF'],['NL'],"[2022, 2023, 2024]",28,104,0,100,Active,0
309066,Jared Young,CHC,1B,28,44,124,20,26,4,6,4,16,6,0,12,40,0,0,2,0.186,0.255,0.465,0.72,NL,['CHC'],['NL'],"[2022, 2023, 2024]",40,100,0,100,Active,0
918908,Sam Huff,TEX,C,25,130,328,28,80,12,0,14,32,2,0,26,118,0,0,0,0.256,0.289,0.512,0.801,AL,['TEX'],['AL'],"[2022, 2023, 2024]",106,248,0,100,Active,0
118316,Cody Thomas,OAK,OF,29,58,144,4,36,6,0,2,4,0,0,12,58,0,0,0,0.238,0.304,0.381,0.685,AL,['OAK'],['AL'],"[2022, 2023, 2024]",48,108,0,100,Active,0
937937,TJ Hopkins,CIN,OF,26,25,41,7,7,0,0,0,1,1,0,2,17,0,0,1,0.171,0.227,0.171,0.398,NL,['CIN'],['NL'],"[2022, 2023, 2024]",10,35,0,100,Active,0
347582,Sandy Leon,TEX,C,34,504,1008,90,162,45,0,0,72,0,0,126,423,27,0,9,0.146,0.186,0.195,0.381,AL,"['TEX', 'CLE', 'MIN']",['AL'],"[2022, 2023, 2024]",297,855,0,100,Active,0
53331,J.P. Martinez,TEX,OF,27,17,40,7,9,1,0,1,4,0,0,2,16,0,2,0,0.225,0.25,0.325,0.575,AL,['TEX'],['AL'],"[2022, 2023, 2024]",11,31,0,100,Active,0
496179,Spencer Horwitz,TOR,1B,25,15,39,5,10,2,0,1,7,0,0,4,12,0,0,1,0.256,0.341,0.385,0.726,AL,['TOR'],['AL'],"[2022, 2023, 2024]",15,30,0,100,Active,0
102500,Jordyn Adams,LAA,OF,23,17,39,1,5,0,0,0,1,1,2,0,16,0,1,0,0.128,0.125,0.128,0.253,AL,['LAA'],['AL'],"[2022, 2023, 2024]",5,34,0,100,Active,0
1023207,Marco Luciano,SF,SS,22,14,39,4,9,3,0,0,0,1,0,6,17,0,0,0,0.231,0.333,0.308,0.641,NL,['SF'],['NL'],"[2022, 2023, 2024]",15,30,0,100,Active,0
940387,Coco Montes,COL,2B,27,18,38,3,7,2,0,1,3,0,0,2,12,0,0,1,0.184,0.244,0.316,0.56,NL,['COL'],['NL'],"[2022, 2023, 2024]",10,32,0,100,Active,0
435678,Andrew Stevenson,MIN,OF,29,25,37,4,7,1,0,0,1,4,1,2,8,0,0,1,0.189,0.25,0.216,0.466,AL,['MIN'],['AL'],"[2022, 2023, 2024]",10,31,0,100,Active,0
159906,Adam Haseley,CWS,OF,27,84,114,20,26,4,0,0,8,2,0,12,30,2,0,0,0.222,0.282,0.278,0.56,AL,['CWS'],['AL'],"[2022, 2023, 2024]",38,88,0,100,Active,0
462149,Blake Rutherford,WAS,OF,26,16,35,4,6,0,0,0,2,0,0,1,10,0,0,0,0.171,0.194,0.171,0.365,NL,['WAS'],['NL'],"[2022, 2023, 2024]",7,29,0,100,Active,0
354064,Andre Lipcius,DET,3B,25,13,35,3,10,1,0,1,4,0,0,3,8,0,0,0,0.286,0.342,0.4,0.742,AL,['DET'],['AL'],"[2022, 2023, 2024]",13,25,0,100,Active,0
303925,Junior Caminero,TB,3B,20,7,34,4,8,1,0,1,7,0,0,2,8,0,0,0,0.235,0.278,0.353,0.631,AL,['TB'],['AL'],"[2022, 2023, 2024]",10,26,0,100,Active,0
707642,Peyton Burdick,MIA,OF,26,92,250,24,50,12,0,10,26,4,0,22,106,0,0,6,0.182,0.27,0.333,0.603,NL,['MIA'],['NL'],"[2022, 2023, 2024]",78,206,0,100,Active,0
787587,Canaan Smith-Njigba,PIT,OF,24,36,74,8,10,4,2,0,10,2,0,10,32,0,2,2,0.125,0.216,0.219,0.435,NL,['PIT'],['NL'],"[2022, 2023, 2024]",22,66,0,100,Active,0
994478,Travis Blankenhorn,WAS,3B,27,22,68,4,10,0,0,2,2,0,0,12,14,0,0,0,0.161,0.297,0.258,0.555,NL,"['NYM', 'WAS']",['NL'],"[2022, 2023, 2024]",22,58,0,100,Active,0
608579,Oscar Mercado,STL,OF,28,675,1368,180,306,81,9,36,189,36,27,54,297,0,9,9,0.29,0.313,0.387,0.7,NL,"['PHI', 'STL', 'CLE']","['NL', 'AL']","[2022, 2023, 2024]",369,1071,0,100,Active,0
940426,Ji-Man Choi,SD,1B,32,1368,4140,432,900,243,0,153,585,0,0,612,1422,0,45,27,0.065,0.268,0.097,0.365,NL,"['TB', 'PIT', 'SD']","['NL', 'AL']","[2022, 2023, 2024]",1539,3267,0,100,Active,0
600227,Jasson Dominguez,NYY,OF,20,8,31,6,8,1,0,4,7,1,0,2,8,0,0,0,0.258,0.303,0.677,0.98,AL,['NYY'],['AL'],"[2022, 2023, 2024]",10,23,0,100,Active,0
951324,Jose Tena,CLE,SS,22,18,31,2,7,2,0,0,3,0,0,3,13,0,0,0,0.226,0.294,0.29,0.584,AL,['CLE'],['AL'],"[2022, 2023, 2024]",10,24,0,100,Active,0
71831,Jordan Lawlar,ARI,SS,21,14,31,2,4,0,0,0,0,1,1,2,11,0,0,1,0.129,0.206,0.129,0.335,AL,['ARI'],['AL'],"[2022, 2023, 2024]",7,28,0,100,Active,0
952756,Logan Porter,KC,C,28,11,31,4,6,1,0,1,3,0,0,5,11,1,0,1,0.194,0.324,0.323,0.647,AL,['KC'],['AL'],"[2022, 2023, 2024]",12,26,0,100,Active,0
494400,Kolten Wong,LAD,2B,33,1989,5886,810,1341,270,36,171,666,180,72,576,1269,18,72,171,0.3,0.353,0.5,0.853,AL,"['SEA', 'LAD', 'MIL']","['AL', 'NL']","[2022, 2023, 2024]",2088,4716,0,100,Active,0
243371,Kyle Stowers,BAL,OF,25,96,242,24,50,8,2,6,22,0,0,16,82,0,0,4,0.067,0.152,0.067,0.219,AL,['BAL'],['AL'],"[2022, 2023, 2024]",70,196,0,100,Active,0
567680,Rodolfo Castro,PHI,2B,24,1467,4320,414,963,135,36,153,459,54,63,405,1332,0,18,63,0.1,0.156,0.1,0.256,NL,"['PIT', 'PHI']",['NL'],"[2022, 2023, 2024]",1431,3420,0,100,Active,0
573776,Kyle Garlick,MIN,OF,31,160,356,50,80,8,0,22,44,0,0,20,118,0,2,6,0.179,0.233,0.429,0.662,AL,['MIN'],['AL'],"[2022, 2023, 2024]",106,282,0,100,Active,0
675050,Edwin Rios,CHC,1B,29,90,228,30,46,4,0,16,38,0,2,20,104,0,0,4,0.071,0.235,0.214,0.449,NL,"['CHC', 'LAD']","['NL', 'AL']","[2022, 2023, 2024]",70,186,0,100,Active,0
396334,Nathan Lukes,TOR,OF,29,29,26,4,5,1,1,0,2,0,0,4,9,0,1,0,0.192,0.29,0.308,0.598,AL,['TOR'],['AL'],"[2022, 2023, 2024]",9,21,0,100,Active,0
621922,Bligh Madris,HOU,OF,27,102,278,28,48,16,0,2,14,4,2,28,76,0,0,0,0.154,0.267,0.192,0.459,AL,"['PIT', 'HOU']","['AL', 'NL']","[2022, 2023, 2024]",76,230,0,100,Active,0
101521,Chris Owings,PIT,2B,32,76,162,12,20,4,0,0,0,2,0,20,72,2,0,2,0.16,0.16,0.16,0.32,NL,"['BAL', 'PIT']","['NL', 'AL']","[2022, 2023, 2024]",42,144,0,100,Active,0
611269,Dalton Guthrie,PHI,OF,27,74,90,14,22,2,0,2,10,2,0,18,28,0,0,4,0.167,0.286,0.208,0.494,NL,['PHI'],['NL'],"[2022, 2023, 2024]",44,72,0,100,Active,0
1046324,Drew Ellis,PHI,3B,27,171,351,54,72,9,0,18,45,0,9,63,126,0,0,0,0.217,0.379,0.478,0.857,NL,"['ARI', 'PHI', 'SEA']","['NL', 'AL']","[2022, 2023, 2024]",135,279,0,100,Active,0
592923,Greg Allen,NYY,OF,30,136,282,46,54,10,2,6,18,22,6,24,104,8,2,8,0.217,0.333,0.478,0.811,AL,"['PIT', 'NYY']","['AL', 'NL']","[2022, 2023, 2024]",86,236,0,100,Active,0
805827,Darin Ruf,SF,OF,37,8896,24512,3520,5056,960,0,704,3072,128,0,3392,7744,0,192,384,0.261,0.37,0.348,0.718,NL,"['NYM', 'SF', 'MIL']",['NL'],"[2022, 2023, 2024]",8832,19840,0,100,Active,0
1041088,Cooper Hummel,SEA,OF,28,152,398,44,66,18,6,6,34,10,2,50,146,0,2,4,0.087,0.192,0.13,0.322,AL,"['ARI', 'SEA']",['AL'],"[2022, 2023, 2024]",120,336,0,100,Active,0
543702,Josh Lester,BAL,1B,29,26,54,0,8,0,0,0,8,0,0,2,20,0,0,0,0.182,0.217,0.182,0.399,AL,"['BAL', 'DET']",['AL'],"[2022, 2023, 2024]",10,46,0,100,Active,0
687537,Yonny Hernandez,LAD,3B,25,52,92,14,10,2,0,0,8,4,0,8,24,6,2,2,0.136,0.231,0.182,0.413,AL,"['ARI', 'LAD']",['AL'],"[2022, 2023, 2024]",20,84,0,100,Active,0
713530,Tommy La Stella,SEA,DH,34,144,402,38,94,30,0,4,32,0,0,28,70,0,6,2,0.19,0.292,0.238,0.53,AL,"['SF', 'SEA']","['AL', 'NL']","[2022, 2023, 2024]",124,310,0,100,Active,0
521885,Austin Meadows,DET,OF,28,84,298,18,74,14,4,0,26,0,2,32,40,0,0,6,0.238,0.238,0.286,0.524,AL,['DET'],['AL'],"[2022, 2023, 2024]",112,230,0,100,Active,0
286824,Brian O'Keefe,SEA,C,30,20,44,0,6,4,0,0,4,0,0,6,18,0,0,0,0.105,0.19,0.211,0.401,AL,['SEA'],['AL'],"[2022, 2023, 2024]",12,38,0,100,Active,0
